Timestamp,SessionTime,SessionState,OnPitRoad,InPitStall,Speed,LapLastLapTime,PitRepairLeft,PitOptRepairLeft,PlayerCarTowTime,Trigger
20260608 16:33:49.771,62.333,4,0,0,0.0,0.000,0.00,0.00,0.00,change
20260608 16:33:50.783,63.333,4,0,0,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:51.787,64.317,4,0,0,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:52.799,65.300,4,0,0,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:53.816,66.317,4,0,0,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:54.830,68.017,4,0,0,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:55.845,69.133,4,0,0,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:56.845,70.233,4,0,0,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:57.385,70.800,4,1,1,0.0,0.000,0.00,0.00,0.00,change
20260608 16:33:58.424,71.917,4,1,1,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:33:59.440,73.033,4,1,1,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:00.454,73.150,4,1,1,0.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:01.344,74.050,4,1,0,0.6,0.000,0.00,0.00,0.00,change
20260608 16:34:02.349,75.050,4,1,0,3.3,0.000,0.00,0.00,0.00,interval
20260608 16:34:03.362,76.050,4,1,0,3.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:04.376,77.050,4,1,0,3.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:05.387,78.050,4,1,0,3.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:06.395,79.050,4,1,0,3.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:07.400,80.050,4,1,0,3.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:08.401,81.050,4,1,0,3.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:09.250,81.900,4,0,0,3.7,0.000,0.00,0.00,0.00,change
20260608 16:34:10.251,82.900,4,0,0,3.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:11.267,83.917,4,0,0,4.5,0.000,0.00,0.00,0.00,interval
20260608 16:34:12.283,84.933,4,0,0,5.4,0.000,0.00,0.00,0.00,interval
20260608 16:34:13.285,85.933,4,0,0,6.3,0.000,0.00,0.00,0.00,interval
20260608 16:34:14.301,86.950,4,0,0,7.1,0.000,0.00,0.00,0.00,interval
20260608 16:34:15.302,87.967,4,0,0,10.2,0.000,0.00,0.00,0.00,interval
20260608 16:34:16.302,88.967,4,0,0,16.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:17.302,89.967,4,0,0,22.3,0.000,0.00,0.00,0.00,interval
